DEPTH,GR,NPHI,RHOB,RT,vcl,phie,phit
4311.5,85.01,0.35,2.32,1.6,0.63,0.12,0.25
4312.0,83.04,0.34,2.33,1.59,0.61,0.11,0.24
4312.5,80.49,0.34,2.34,1.58,0.58,0.11,0.24
4313.0,77.79,0.34,2.33,1.56,0.55,0.12,0.24
4313.5,75.94,0.34,2.33,1.54,0.53,0.12,0.24
4314.0,74.32,0.35,2.34,1.53,0.51,0.1,0.24
4314.5,73.34,0.36,2.36,1.5,0.5,0.08,0.23
4315.0,73.82,0.36,2.36,1.48,0.51,0.08,0.23
4315.5,74.87,0.36,2.37,1.47,0.52,0.07,0.23
4316.0,75.86,0.36,2.37,1.46,0.54,0.07,0.23
4316.5,76.19,0.36,2.35,1.45,0.54,0.09,0.24
4317.0,76.03,0.36,2.35,1.45,0.54,0.09,0.24
4317.5,75.28,0.37,2.36,1.44,0.53,0.07,0.24
4318.0,73.45,0.37,2.35,1.44,0.5,0.07,0.24
4318.5,71.49,0.37,2.33,1.44,0.48,0.11,0.25
4319.0,69.15,0.37,2.31,1.43,0.45,0.12,0.26
4319.5,67.56,0.37,2.31,1.43,0.43,0.12,0.26
4320.0,66.65,0.36,2.3,1.44,0.43,0.13,0.26
4320.5,66.25,0.35,2.31,1.44,0.43,0.13,0.25
4321.0,65.29,0.35,2.31,1.44,0.41,0.13,0.25
4321.5,64.25,0.34,2.29,1.44,0.4,0.16,0.26
4322.0,63.76,0.33,2.27,1.44,0.4,0.18,0.27
4322.5,63.7,0.33,2.26,1.43,0.4,0.18,0.27
4323.0,64.12,0.33,2.26,1.43,0.4,0.18,0.27
4323.5,64.3,0.34,2.27,1.43,0.4,0.16,0.27
4324.0,64.24,0.36,2.28,1.43,0.4,0.14,0.26
4324.5,64.54,0.36,2.29,1.43,0.4,0.14,0.26
4325.0,65.76,0.36,2.3,1.43,0.42,0.13,0.26
4325.5,66.77,0.36,2.29,1.44,0.43,0.14,0.26
4326.0,66.89,0.36,2.28,1.45,0.43,0.15,0.27
4326.5,66.47,0.37,2.26,1.46,0.42,0.17,0.28
4327.0,65.16,0.37,2.25,1.47,0.41,0.17,0.28
4327.5,63.85,0.37,2.27,1.47,0.39,0.15,0.28
4328.0,63.15,0.37,2.28,1.47,0.38,0.13,0.27
4328.5,62.69,0.36,2.26,1.48,0.38,0.18,0.28
4329.0,62.1,0.36,2.23,1.49,0.37,0.2,0.29
4329.5,61.54,0.36,2.21,1.5,0.37,0.21,0.3
4330.0,60.55,0.35,2.2,1.5,0.35,0.23,0.3
4330.5,59.09,0.35,2.19,1.47,0.34,0.25,0.3
4331.0,57.51,0.33,2.19,1.46,0.32,0.25,0.3
4331.5,56.26,0.32,2.2,1.43,0.3,0.25,0.29
4332.0,55.0,0.32,2.2,1.41,0.29,0.25,0.29
4332.5,54.62,0.32,2.2,1.4,0.29,0.25,0.29
4333.0,54.69,0.32,2.2,1.38,0.29,0.25,0.29
4333.5,55.01,0.32,2.19,1.36,0.3,0.26,0.29
4334.0,55.26,0.33,2.19,1.34,0.3,0.25,0.3
4334.5,56.18,0.33,2.19,1.33,0.31,0.25,0.3
4335.0,57.46,0.34,2.18,1.32,0.32,0.25,0.3
4335.5,58.4,0.34,2.17,1.31,0.34,0.26,0.31
4336.0,58.66,0.34,2.17,1.3,0.34,0.27,0.31
4336.5,58.19,0.34,2.18,1.29,0.33,0.25,0.3
4337.0,57.68,0.34,2.19,1.28,0.32,0.24,0.29
4337.5,57.6,0.34,2.2,1.27,0.32,0.24,0.29
4338.0,57.65,0.35,2.19,1.26,0.32,0.24,0.3
4338.5,57.48,0.35,2.19,1.25,0.32,0.24,0.3
4339.0,57.24,0.36,2.18,1.25,0.32,0.24,0.31
4339.5,57.28,0.36,2.17,1.24,0.32,0.25,0.31
4340.0,57.87,0.37,2.16,1.24,0.33,0.26,0.32
4340.5,58.87,0.36,2.15,1.23,0.34,0.27,0.32
4341.0,59.68,0.36,2.15,1.22,0.35,0.27,0.32
4341.5,59.96,0.36,2.15,1.22,0.35,0.27,0.32
4342.0,60.69,0.35,2.15,1.21,0.36,0.28,0.32
4342.5,61.47,0.35,2.15,1.2,0.37,0.28,0.32
4343.0,61.88,0.35,2.16,1.18,0.37,0.27,0.31
4343.5,61.91,0.35,2.16,1.17,0.37,0.27,0.31
4344.0,62.02,0.36,2.15,1.16,0.37,0.27,0.32
4344.5,62.44,0.37,2.14,1.15,0.38,0.27,0.33
4345.0,62.55,0.37,2.14,1.13,0.38,0.27,0.33
4345.5,62.72,0.37,2.13,1.12,0.38,0.28,0.33
4346.0,63.27,0.37,2.13,1.11,0.38,0.29,0.34
4346.5,64.81,0.37,2.13,1.09,0.41,0.28,0.33
4347.0,67.08,0.37,2.13,1.07,0.44,0.28,0.33
4347.5,69.51,0.37,2.13,1.06,0.47,0.28,0.33
4348.0,71.32,0.38,2.12,1.04,0.48,0.29,0.34
4348.5,72.12,0.39,2.11,1.0,0.49,0.29,0.35
4349.0,73.09,0.4,2.11,0.99,0.5,0.29,0.35
